iter	Passed	Remaining
647	4536	2464
648	4543	2457
649	4550	2450
650	4556	2442
651	4564	2436
652	4570	2428
653	4577	2421
654	4584	2414
655	4590	2407
656	4597	2399
657	4603	2392
658	4610	2385
659	4617	2378
660	4624	2371
661	4630	2364
662	4637	2357
663	4643	2349
664	4650	2342
665	4657	2335
666	4663	2328
667	4669	2320
668	4675	2313
669	4682	2306
670	4688	2299
671	4695	2291
672	4701	2284
673	4707	2276
674	4713	2269
675	4719	2262
676	4726	2254
677	4732	2247
678	4738	2240
679	4744	2232
680	4751	2225
681	4758	2218
682	4765	2211
683	4771	2204
684	4777	2196
685	4783	2189
686	4789	2182
687	4795	2174
688	4802	2167
689	4808	2160
690	4814	2153
691	4821	2145
692	4827	2138
693	4833	2131
694	4840	2124
695	4846	2116
696	4852	2109
697	4858	2102
698	4864	2094
699	4870	2087
700	4876	2080
701	4883	2073
702	4889	2065
703	4896	2058
704	4903	2051
705	4910	2044
706	4916	2037
707	4923	2030
708	4929	2023
709	4935	2015
710	4941	2008
711	4948	2001
712	4954	1994
713	4961	1987
714	4967	1979
715	4973	1972
716	4980	1965
717	4987	1958
718	4994	1951
719	5000	1944
720	5006	1937
721	5012	1930
722	5019	1922
723	5025	1915
724	5032	1908
725	5039	1901
726	5045	1894
727	5052	1887
728	5058	1880
729	5065	1873
730	5071	1866
731	5077	1858
732	5084	1851
733	5090	1844
734	5096	1837
735	5102	1830
736	5109	1823
737	5115	1815
738	5121	1808
739	5127	1801
740	5133	1794
741	5139	1787
742	5146	1780
743	5152	1773
744	5159	1765
745	5165	1758
746	5172	1751
747	5178	1744
748	5184	1737
749	5190	1730
750	5196	1722
751	5202	1715
752	5208	1708
753	5214	1701
754	5221	1694
755	5227	1687
756	5233	1679
757	5239	1672
758	5246	1665
759	5253	1658
760	5260	1651
761	5266	1644
762	5272	1637
763	5279	1630
764	5285	1623
765	5291	1616
766	5297	1609
767	5303	1602
768	5310	1595
769	5316	1588
770	5322	1580
771	5328	1573
772	5335	1566
773	5341	1559
774	5348	1552
775	5354	1545
776	5360	1538
777	5367	1531
778	5373	1524
779	5379	1517
780	5386	1510
781	5392	1503
782	5398	1496
783	5404	1489
784	5411	1482
785	5417	1474
786	5423	1467
787	5429	1460
788	5435	1453
789	5441	1446
790	5448	1439
791	5454	1432
792	5460	1425
793	5467	1418
794	5474	1411
795	5480	1404
796	5487	1397
797	5494	1390
798	5501	1383
799	5508	1377
800	5514	1370
801	5522	1363
802	5530	1356
803	5539	1350
804	5546	1343
805	5552	1336
806	5559	1329
807	5565	1322
808	5572	1315
809	5578	1308
810	5584	1301
811	5591	1294
812	5596	1287
813	5603	1280
814	5609	1273
815	5616	1266
816	5623	1259
817	5629	1252
818	5635	1245
819	5642	1238
820	5649	1231
821	5655	1224
822	5662	1217
823	5669	1210
824	5676	1204
825	5683	1197
826	5691	1190
827	5698	1183
828	5705	1176
829	5711	1169
830	5718	1162
831	5724	1155
832	5732	1149
833	5739	1142
834	5746	1135
835	5754	1128
836	5761	1122
837	5768	1115
838	5775	1108
839	5782	1101
840	5790	1094
841	5797	1087
842	5804	1081
843	5811	1074
844	5817	1067
845	5824	1060
846	5832	1053
847	5839	1046
848	5846	1039
849	5853	1032
850	5860	1026
851	5867	1019
852	5874	1012
853	5880	1005
854	5887	998
855	5894	991
856	5900	984
857	5907	977
858	5914	970
859	5920	963
860	5927	956
861	5934	950
862	5941	943
863	5948	936
864	5956	929
865	5963	922
866	5970	915
867	5977	909
868	5984	902
869	5990	895
870	5997	888
871	6004	881
872	6011	874
873	6018	867
874	6024	860
875	6031	853
876	6038	846
877	6044	839
878	6050	832
879	6056	825
880	6064	819
881	6070	812
882	6077	805
883	6084	798
884	6090	791
885	6098	784
886	6104	777
887	6111	770
888	6118	763
889	6124	756
890	6131	750
891	6138	743
892	6145	736
893	6152	729
894	6159	722
895	6165	715
896	6171	708
897	6178	701
898	6184	694
899	6191	687
900	6197	680
901	6203	674
902	6209	667
903	6216	660
904	6222	653
905	6229	646
906	6235	639
907	6241	632
908	6248	625
909	6254	618
910	6260	611
911	6267	604
912	6273	597
913	6279	590
914	6285	583
915	6291	576
916	6297	570
917	6303	563
918	6309	556
919	6315	549
920	6322	542
921	6328	535
922	6334	528
923	6340	521
924	6346	514
925	6352	507
926	6358	500
927	6365	493
928	6370	486
929	6377	480
930	6383	473
931	6390	466
932	6396	459
933	6402	452
934	6409	445
935	6415	438
936	6421	431
937	6427	424
938	6434	417
939	6440	411
940	6446	404
941	6453	397
942	6460	390
943	6467	383
944	6474	376
945	6481	369
946	6488	363
947	6495	356
948	6501	349
949	6508	342
950	6515	335
951	6522	328
952	6528	321
953	6535	315
954	6542	308
955	6549	301
956	6555	294
957	6562	287
958	6568	280
959	6575	273
960	6581	267
961	6588	260
962	6594	253
963	6601	246
964	6608	239
965	6615	232
966	6621	225
967	6628	219
968	6634	212
969	6641	205
970	6647	198
971	6654	191
972	6660	184
973	6667	177
974	6673	171
975	6679	164
976	6686	157
977	6692	150
978	6699	143
979	6706	136
980	6713	130
981	6719	123
982	6726	116
983	6732	109
984	6739	102
985	6745	95
986	6751	88
987	6757	82
988	6764	75
989	6770	68
990	6776	61
991	6783	54
992	6789	47
993	6795	41
994	6802	34
995	6808	27
996	6814	20
997	6821	13
998	6827	6
999	6834	0
